码	调整前	调整后
ljdk	拉家带口	蓝鼎、拉家带口
ljdm	蓝靛	蓝点、蓝靛
ljdp	谰、讕、糷	谰、讕、糷、蓝叠
ljfh	两极分化	蓝方、兰芳、两极分化
ljfj	蓝矾	蓝帆、蓝矾
ljgg	垃圾广告	烂梗、垃圾广告
ljgs	揽工	揽工、揽功
ljho	揽活	揽活、烂活
ljhv	蓝灰	蓝灰、拦回
ljhx	兰花	兰花、蓝花
ljhz	懒猴	懒猴、栏后
ljic	连接出错	烂炒、连接出错
ljie	缆车	缆车、拦车
ljih	腊尽春回	蓝厂、腊尽春回
ljiz	蓝筹、离家出走	烂臭、蓝筹、离家出走
ljjx	历尽艰辛	滥加、历尽艰辛
ljka	覧、覽	覧、覽、蓝卡、烂卡
ljkd	勒紧裤腰带	蓝开、勒紧裤腰带
ljke	揽客	揽客、烂柯
ljkl	篮筐、擥	篮筐、擥、篮框
ljli	零距离接触	栏里、烂梨、零距离接触
ljlj	蓝蓝、领教领教、了解了解	懒懒、蓝蓝、领教领教、了解了解
ljll	廉价劳动力	蓝量、廉价劳动力
ljlu	拦路	拦路、烂路
ljmc	懒猫、蓝猫	蓝猫、懒猫
ljmw	蓝莓	蓝莓、滥美
ljpd	离经叛道	烂牌、离经叛道
ljqk	滥情、了解情况	滥情、蓝青、了解情况
ljqq	篮球	篮球、蓝球
ljsi	兰斯	懒死、兰斯
ljsu	烂俗	烂俗、滥俗
ljtj	篮坛	篮坛、烂摊
ljtn	蓝调、蓝条	蓝条、蓝调
ljua	滥杀、褴、襤	蓝鲨、褴、襤、滥杀
ljuu	烂熟、炼金术士	烂熟、烂书、炼金术士
ljuz	揽收	揽收、蓝瘦
ljvz	兰州、路径追踪	兰州、兰舟、路径追踪
ljwa	䦨	䦨、蓝蛙、滥挖
ljwj	垃圾文件	烂完、垃圾文件
ljww	阑尾、烂尾	烂尾、阑尾
ljxu	拦蓄、落井下石	落井下石、拦蓄
ljxx	篮下	拦下、篮下
ljyb	略见一斑、临机应变	蓝银、略见一斑、临机应变
ljyc	懒腰、拦腰	拦腰、懒腰
ljyj	谰言	蓝颜、谰言
ljzc	蓝藻	蓝藻、滥造
ljzi	篮子	篮子、蓝字
ljzo	㛦	㛦、懒坐
lkbi	另辟、灵璧	灵璧、零比、另辟
lkbm	灵便	灵便、领边
lkch	霝	霝、灵藏
lkci	零次	令慈、零次
lkco	霛	霛、领错
lkdh	铃铛	铃铛、另当
lkdj	零蛋、灵丹	灵丹、零蛋
lkdz	詅	詅、岭兜
lkfg	零封	零封、凌峰
lkfj	灵幡	灵幡、灵泛
lkfu	灵符	另附、灵符
lkgz	龄、玲、齡、齢、鈴、琌	龄、玲、齡、齢、鈴、琌、零购
lkhe	零和	令和、零和
lkhx	零花	零花、绫华、灵化
lkhz	呤	呤、灵猴
lkii	凌迟	凌迟、零吃
lkij	拉开差距	灵禅、拉开差距
lkiu	凌空抽射	领出、凌空抽射
lkjb	领巾	领进、领巾
lkji	灵机	另计、灵机
lkjk	灵境	灵境、灵精
lkjl	领奖	领奖、另讲
lkjn	领教、菱角	领教、零角、菱角
lkjq	灵柩、绫、綾	灵柩、绫、綾、灵鹫
lkju	另据	令居、另据
lklf	乱砍滥伐、滥砍滥伐	滥砍滥伐、乱砍滥伐
lkli	伶俐、凌厉	凌厉、伶俐
lklk	灵灵、零零、零陵	零零、灵灵、零陵
lklq	㱥、掕	㱥、掕、零六
lkmd	零卖	零卖、灵脉
lkmk	灵明、领命	领命、灵明
lkmu	铃木、陵墓	陵墓、铃木
lkng	䡿	䡿、灵能
lkpd	灵牌、令牌	令牌、灵牌
lkpg	灵棚	灵棚、令捧
lkqi	灵气	灵气、令其
lkqk	领情	领情、另请
lkqr	领圈、灵、领券	领券、灵、领圈
lkqu	领取	领取、灵渠
lkrj	离开人间	凌然、离开人间
lkru	凌辱、离开人世	凌辱、领入、离开人世
lksj	零散	零散、零三
lkss	雷克萨斯	另送、雷克萨斯
lkta	灵塔	令他、灵塔
lkui	零食、领事、灵石、零时	零食、灵石、领事、零时
lkvu	领主、灵珠	领主、另注、灵珠
lkvz	狑、朎	狑、朎、令咒、灵咒
lkxi	灵犀	灵犀、另悉
lkxk	零星、灵性、另行、菱形	灵性、零星、另行、菱形
lkxn	凌霄	凌霄、灵效
lkxx	零下	零下、令下
lkxy	凌汛	另寻、凌汛
lkyb	铃音、灵隐、略窥一斑	灵隐、铃音、略窥一斑
lkyc	灵药	另要、灵药
lkyr	陵园	陵园、令媛、泠鸢
lkys	零用、领用	领用、零用
lkza	領	領、零杂
lkzi	领子	领子、灵子
lkzs	刢	刢、灵宗
llbf	来历不凡、理论部分	两本、来历不凡、理论部分
llbj	凉拌、两半、绿了芭蕉	两半、凉拌、绿了芭蕉
llbm	两边、两遍、量变、来历不明	两边、两遍、来历不明、量变
llbo	梁	梁、两拨
llbs	留恋不舍、罗里吧嗦	罗里吧嗦、留恋不舍
llbv	泪流不止、来路不正	来路不正、泪流不止
llcg	㹁	㹁、两层
llci	量词、两次	两次、量词
lldc	粮道、粮、两道	两道、粮、粮道
lldd	荦荦大端、伦理道德	两代、两袋、伦理道德、荦荦大端
lldi	两地	两地、两滴
lldm	亮点、两点、粮店、糧	两点、亮点、粮店、糧
lldo	良多	良多、两朵
lldp	流离颠沛	凉碟、两碟、流离颠沛
lldr	两端	两端、两段
lldv	拉拉队长	两对、两队、拉拉队长
lldz	荦荦大者、老来得子	老来得子、荦荦大者
llff	两分、凉粉	两分、两份、凉粉
llfg	凉风	凉风、两封
llfj	量贩	量贩、两番
llfu	联络方式	两幅、联络方式
llgc	凉糕	凉糕、两高
llge	两个	两个、两格
llgh	量纲、落落寡合、落落寡欢	量纲、落落寡欢、落落寡合
llgu	流浪歌手	两股、流浪歌手
llgv	量规	量规、两规
llhg	啢	啢、梁衡、两横
llhh	绿林好汉、来来回回、柳绿花红	两行、来来回回、绿林好汉、柳绿花红
llhl	粮荒	粮荒、亮黄
llhu	料理后事	两壶、料理后事
llhv	两会、两回	两回、两会
llhx	量化、亮化	量化、两化、亮化
llhy	唡	唡、两荤
llie	靓车	辆车、靓车
llif	良辰	良辰、良臣
llig	量程、两成	两成、量程
llih	泪流成河	两场、泪流成河
lljb	两晋	两斤、两晋
llji	良机、量级、两极	量级、良机、两极
lljm	两间	两件、两间
lljp	谅解、两节	谅解、两截、两节
lljx	良家、两家、粮价、两颊	两家、良家、粮价、两颊
llke	两颗	两颗、两棵
llkk	凉快	两块、凉快
llks	寥寥可数、历历可数	两孔、两空、寥寥可数、历历可数
llku	粮库、良苦	良苦、粮库
llli	亮丽、靓丽、量力	靓丽、亮丽、量力
lllq	流里流气、聊来聊去	聊来聊去、流里流气
lllw	两肋	两类、两肋
llly	姥姥姥爷、刘姥姥进大观园	两轮、姥姥姥爷、刘姥姥进大观园
llma	良马、两码	两码、良马
llmc	凉帽	两毛、凉帽
llmm	凉面、两面、粮棉、琳琅满目、泪流满面、流量密码	两面、凉面、泪流满面、琳琅满目、流量密码、粮棉
llmo	粮秣	亮膜、粮秣
llmu	良母、梁木、浏览模式	良母、两亩、梁木、浏览模式
llmw	靓妹	两枚、靓妹
llnj	两难	两难、两男
llnv	靓女	两女、靓女
llpb	良品	良品、量频
llpi	凉皮	两匹、凉皮
llpk	亮屏	两瓶、亮屏
llpn	粮票	粮票、两票
llqi	凉气、两栖	亮起、凉气、两栖
llqk	朗朗乾坤	两清、朗朗乾坤
llql	踉跄	踉跄、两枪
llqq	冷冷清清、踉踉跄跄、来来去去	踉踉跄跄、冷冷清清、来来去去
llqr	两全	两圈、两全
llqu	两区	两区、量取
llqy	绿林起义	两群、绿林起义
llri	良日、两日	两日、良日
llse	亮色	亮色、两色
llss	零零碎碎、啰啰嗦嗦	两宋、啰啰嗦嗦、零零碎碎
lltd	凉台、氯雷他定	两台、凉台、氯雷他定
llth	亮堂、柳绿桃红	亮堂、两趟、柳绿桃红
lltm	良田、粮田、两天	两天、良田、粮田
llts	量筒	两桶、量筒
lltx	戮力同心、流落他乡、勠力同心、理论体系	理论体系、流落他乡、勠力同心、戮力同心
llug	累累硕果、裲	两声、裲、累累硕果
lluh	粮商	粮商、梁上
llui	粮食、良师	粮食、两市、良师
lluj	梁山、凉山、良善	两扇、梁山、凉山、良善
llul	凉爽	凉爽、两双
lluz	两手	两手、两首
llvd	理论指导、莅临指导、拉了壮丁	莅临指导、理论指导、拉了壮丁
llve	两者	两者、亮着
llvf	凉枕	两针、凉枕
llvi	良知、两只	两只、两支、良知
llvj	粮站、来临之际、乱了阵脚、邻里之间	粮站、乱了阵脚、邻里之间、来临之际
llvl	靓妆	靓妆、亮荘
llvs	良种、两重、两种	两种、良种、两重
llvz	两周	两周、凉粥
llww	两位、两委、来来往往、碌碌无为	两位、来来往往、碌碌无为、两委
llxn	良宵	良宵、量小
llxx	零零星星、陆陆续续	两下、陆陆续续、零零星星
llxy	𬜯	𬜯、两旬、良训
llyi	两翼、凉意	凉意、两翼、两仪
llyr	良缘、两院	两元、良缘、两院
llze	亮泽、两则	两则、亮泽
llzi	量子、梁子	两字、量子、梁子、良子
lmbd	连败、连绵不断	连败、脸白、连绵不断
lmbu	脸部、连部、莲步、两面包夹芝士	脸部、莲步、两面包夹芝士、连部
lmcd	敛财	敛财、莲菜
lmci	连词	连词、练词
lmco	䨬	䨬、连错、练错
lmda	脸大、联大	连打、脸大、联大
lmdh	连蒙带唬	连挡、连蒙带唬
lmdm	联电	连点、联电
lmdp	连蒙带骗、謰	连跌、謰、连蒙带骗
lmdr	礼貌待人	连段、礼貌待人
lmds	联动	联动、连动
lmdu	连读、雷鸣电闪	连读、练度、雷鸣电闪
lmer	聮	聮、莲儿、帘儿
lmfa	连发	连发、练法
lmfj	连番	连反、连番
lmfu	连负	恋父、连负
lmgf	连根、连亘	连根、连跟、连亘
lmgs	练功	练功、连供
lmgv	廉明公正	连跪、廉明公正
lmhc	连号、练好	练好、连号
lmhe	联合、㝺	联合、㝺、莲荷
lmhg	连横	连横、联横
lmhl	脸黄	莲皇、脸黄
lmhu	联户、莲湖	莲湖、联户
lmhv	联会	练会、联会
lmia	帘	帘、联查、脸刹
lmih	连长、联唱	联唱、连长
lmiu	练出	练出、炼出
lmjp	连接、廉洁、链接、连结、联结、联接、練、縺、䃛	连接、链接、廉洁、连结、联结、联接、練、縺、䃛
lmju	龙马精神	连狙、龙马精神
lmjx	廉价、脸颊、恋家	脸颊、廉价、恋家
lmkh	镰	镰、联康
lmli	连理	连理、联力
lmlk	㱨	㱨、炼灵、连领
lmlo	联络	联络、连络
lmlv	老迈龙钟、老马恋栈	炼铝、老马恋栈、老迈龙钟
lmmw	联袂	恋妹、联袂
lmpc	恋	恋、连跑
lmpd	连拍、联排	联排、连拍
lmph	脸庞	脸庞、脸胖
lmpj	脸盘	脸盘、脸畔
lmqi	练气、炼器	炼器、练气
lmqm	敛钱	脸前、敛钱
lmqn	连翘	连翘、连敲
lmqq	链球	链球、练球
lmre	炼	炼、脸热
lmrh	熑、燫、簾	熑、燫、簾、连让
lmrs	脸容	莲蓉、脸容
lmru	炼乳	炼乳、连入
lmso	连锁	连锁、链索
lmss	劆	劆、连送
lmth	莲塘	莲塘、连堂
lmti	连体	连体、炼体
lmtn	链条、联调	链条、连跳、联调
lmts	联通、连同、连通	联通、连同、炼铜、连通
lmuc	劳民伤财	连哨、劳民伤财
lmuf	连身	连身、联审
lmug	连声、连胜、黎明曙光、襝	连胜、连声、黎明曙光、襝
lmuk	龙门石窟	连帅、龙门石窟
lmuu	脸书、联署	连输、脸书、联署
lmuz	联手、练手、连手、练熟、脸熟	联手、练手、脸熟、练熟、连手
lmve	连着	连着、练着
lmvs	联众	联众、连中
lmvu	连珠	连珠、连住
lmvy	浪漫主义	联准、浪漫主义
lmvz	连轴、连州	莲舟、连轴、连州
lmwa	覝	覝、连袜
lmwu	练武、练舞	练武、练舞、恋物
lmxl	联想	联想、恋想
lmxn	脸小	脸小、连笑
lmxq	蔹、流氓习气、蘞	蔹、连休、蘞、流氓习气
lmxy	柳眉杏眼	联讯、柳眉杏眼
lmyj	潋滟、临门一脚	潋滟、练眼、临门一脚
lmyk	联营	连赢、联营
lmyz	炼油	炼油、镰鼬
lmzc	连遭、㜻	连遭、㜻、连造
lmzu	廉租、恋足	恋足、廉租
lmzz	联奏	联奏、连走
lnbg	潦	潦、聊崩
lnfg	僚	僚、缭缝
lngo	辽国	聊过、辽国
lnji	僚机、料及	料及、僚机
lnkd	撩开	撩开、聊开
lnug	聊生	聊生、聊胜
lnui	了事	了事、聊事
lnuu	僚属	聊熟、僚属、了熟
lnwj	里嫩外焦	聊完、里嫩外焦
lnxx	撂下	撂下、聊下
lnyi	聊以	聊以、撩衣
lobj	漯	漯、落版
lobo	萝卜、濼	萝卜、濼、裸播
lodg	咯噔	裸灯、咯噔
lofg	儸	儸、罗峰
lofu	洛夫	罗浮、洛夫
loic	落潮	落潮、罗超
loig	落成	落成、罗成
lojb	落进	落尽、落进
loji	逻辑、裸机	逻辑、裸机、洛基
lojk	罗经	罗静、罗经
lojx	硦	硦、裸价、裸甲
lomo	落寞	落寞、裸模
lopj	罗盘	罗盘、裸盘
loqq	䀩	䀩、落球
losd	络腮	络腮、螺塞
losi	螺丝、罗斯、螺蛳	螺丝、罗丝、罗斯、螺蛳
loso	啰嗦	啰嗦、罗嗦
loti	裸体、落体	裸体、裸替、落体
loug	锣声	罗生、锣声
louv	落水	落水、裸睡
lovg	脶、玀	脶、玀、罗争
lovh	腡	腡、落账、罗帐
lovi	咯吱、罗织	罗志、罗织、咯吱
lovl	猡	猡、裸妆
lowu	落伍	落伍、裸舞
loxl	萝	萝、罗翔
loxm	蓏、螺线	蓏、螺线、落陷
loyi	罗伊、络绎	络绎、罗伊
loyj	落雁、裸眼	裸眼、落雁
lpdu	烈度	烈度、裂度
lpfu	列夫	列夫、烈妇
lpho	烈火	烈火、劣货
lphu	猎户	猎户、猎虎
lphy	哷	哷、裂魂
lpjq	烈酒	烈酒、劣酒
lpke	列克	列克、列科
lplo	擸	擸、列罗
lplp	猎猎、咧咧、挘、劽、迾	咧咧、猎猎、挘、劽、迾
lpls	拉普拉斯、列、挒	烈龙、列、挒、拉普拉斯
lpmk	列名、列明	列明、列名
lpmo	䪉、㲱	䪉、㲱、猎魔
lpns	颲	颲、列侬
lppb	劣品	劣品、猎聘
lpqu	猎取	猎取、猎区
lpuf	劣绅	猎神、劣绅
lpuh	裂伤	裂伤、列上
lpui	烈士、劣势、猎食	劣势、烈士、猎食
lpuu	烈属	猎术、烈属
lpvl	猎装、猟	猎装、猟、列装
lpxk	烈性、劣性	烈性、劣行、劣性
lpyu	列于	烈玉、列于
lpzo	躐	躐、列作
lpzs	趔	趔、列宗
lpzu	列祖	列祖、烈祖
lqbd	六百、留白	留白、六百
lqbf	录取办法	六本、录取办法
lqbi	流弊	流弊、六笔
lqbj	六班	六班、留办
lqbu	留步	留步、六部
lqbw	刘备	刘备、六倍
lqcd	流彩	流彩、留财
lqch	料峭春寒	留仓、留藏、料峭春寒
lqda	溜达、六大	溜达、六大、溜大
lqdd	留待、六代	六代、留待
lqdg	刘邓	留灯、刘邓
lqdi	留底	留底、柳堤
lqdk	柳丁	柳丁、柳钉
lqff	馏分、六分	六分、馏分
lqge	鏐	鏐、六个
lqhc	溜号、六号	六号、溜号
lqhl	硫黄	硫磺、硫黄
lqho	流火	留货、流火
lqhs	嚠	嚠、流红
lqih	流畅、留长	流畅、流长、留长
lqjk	流经	流经、流精
lqju	留居	留居、流局
lqle	溜了	留了、流了、溜了
lqlj	浏览、㧕	浏览、㧕、流岚
lqlm	榴莲、留恋、流连	留恋、流连、榴莲
lqlp	遛、留	遛、留、六列
lqlu	流露	流露、六路
lqly	鹠	鹠、六轮
lqmd	录取名单	六脉、录取名单
lqmf	留门	六门、留门
lqmh	流氓	流氓、六芒
lqmu	柳木	柳木、留姆
lqpc	录取批次	榴炮、录取批次
lqqq	琉球	琉球、溜秋
lqqu	留取	留取、溜去
lqrf	留任、来去如风	留任、六壬、来去如风
lqri	六日、留日	六日、留日、流日
lqsa	旒、旈	旒、旈、流洒
lqso	溜索	六所、溜索
lqsu	留宿、流速、流苏	流速、留宿、流苏
lqth	流淌	流淌、留堂
lqtu	流图、录取通知书	留图、流图、录取通知书
lqtv	录取通知	溜腿、录取通知
lqui	六十、流失、流逝	流失、流逝、六十
lquu	柳树	柳树、留数
lquv	流水	流水、馏水
lquz	留守	留手、留守
lqve	留着	留着、流着
lqvi	柳枝、流质、留职	柳枝、溜之、流质、留职
lqvz	柳州、六周	六周、柳州
lqxm	流线	流线、六弦
lqyc	柳腰	六爻、柳腰
lqyh	浏阳、留洋、另起一行	留洋、浏阳、另起一行
lqyt	六月	六月、流月
lqzc	遛早	六灶、遛早
lqzd	流在、留在	留在、流在
lqzi	瘤子	瘤子、留子
lqzs	嬼	嬼、刘总
lqzu	留足	六组、留足
lrbc	老弱病残	乱报、老弱病残
lrbd	卵白、列入白名单、利润不大	乱摆、卵白、列入白名单、利润不大
lrbi	令人不齿	乱比、令人不齿
lrbj	令人不解、利人不利己	乱搬、令人不解、利人不利己
lrbo	滦、灤	滦、灤、乱拨
lrbu	冷若冰霜	乱补、冷若冰霜
lrcd	乱猜	乱猜、乱采
lrcr	乱窜	乱窜、乱蹿
lrda	㡩	㡩、乱打
lrdn	来日大难、㝈、孿、奱	乱掉、㝈、孿、奱、来日大难
lrdo	欒	欒、乱躲
lrdq	曫	曫、乱丢
lrdr	令人动容、鸞	乱段、鸞、令人动容
lrdu	令人担心的是	乱读、令人担心的是
lrdy	令人担忧、巒	乱炖、巒、令人担忧
lrfa	乱发	乱发、乱法
lrfj	令人费解	乱翻、令人费解
lrgd	令人感动	乱改、令人感动
lrgw	令人鼓舞	乱给、令人鼓舞
lrgx	令人高兴	乱挂、令人高兴
lrgy	乱棍	乱棍、乱滚
lrhl	卵黄	乱晃、卵黄
lrhw	令人回味	乱黑、令人回味
lrhx	乱花	乱花、乱画
lrij	令人吃惊	乱颤、令人吃惊
lrir	栾川	乱传、乱穿、栾川
lrji	乱纪	乱纪、乱记
lrjm	乱箭	乱建、乱箭
lrjt	冷热交替、令人惊叹	令人惊叹、冷热交替
lrju	乱局	乱局、乱句
lrjx	令人惊喜	乱加、令人惊喜
lrlj	利人利己、乱扔垃圾	乱扔垃圾、利人利己
lrmo	亂	亂、乱摸
lrng	令人难过	乱能、令人难过
lrnh	令人恼火	卵囊、令人恼火
lrpf	令人捧腹、令人佩服、令人喷饭	乱喷、令人佩服、令人捧腹、令人喷饭
lrpg	脔	脔、乱碰
lrpk	滦平、銮	滦平、銮、乱评
lrpn	孪	孪、乱飘
lrtv	令人叹为观止	乱推、令人叹为观止
lruu	栾树	栾树、乱数
lrvh	令人震撼	乱账、令人震撼
lrvj	乱战、两人之间、令人震惊	乱占、乱战、两人之间、令人震惊
lrvx	令人窒息	乱抓、令人窒息
lrvz	令人窒息的操作	滦州、令人窒息的操作
lrwf	令人无法	乱问、令人无法
lrxi	寥若星辰	乱吸、寥若星辰
lrxk	卵形	乱性、卵形
lrxm	令人羡慕	滦县、令人羡慕
lrxu	令人欣慰的是	乱序、令人欣慰的是
lrxx	令人遐想	乱下、令人遐想
lryh	老人与海、令人遗憾、落日余晖	令人遗憾、老人与海、落日余晖
lryj	令人厌倦	乱演、令人厌倦
lryu	令人忧伤	銮舆、令人忧伤
lryy	烈日炎炎	乱云、烈日炎炎
lrzi	乱子、卵子	卵子、乱子
lrzo	令人作呕	乱作、令人作呕
lrzz	了若指掌	乱走、了若指掌
lsbd	力所不逮、泷、勒索病毒	勒索病毒、泷、力所不逮
lsbn	瀧	瀧、龙标
lsbw	漋、湰	漋、湰、龙背、龙碑
lscc	里三层外三层	龙草、里三层外三层
lscs	茏葱	茏葱、珑璁
lsdv	两三点钟	龙队、两三点钟
lsil	龙床	龙床、龙创
lsji	龙脊	龙脊、隆极
lsjk	龙井	龙井、龙晶
lsjt	冷水浇头、露宿街头	露宿街头、冷水浇头
lsma	龙马	龙马、龙妈、龙码
lsmn	蠬、䪊	蠬、䪊、龙庙
lsnn	䮾	䮾、笼鸟
lsnw	力所能为	笼内、力所能为
lspj	䃧	䃧、龙蟠
lspk	隆平	龙平、隆平
lspn	龓、隴	龓、隴、龙票
lspw	隆	隆、龙佩
lsqi	隆起、龙旗	隆起、龙骑、龙旗
lsqk	隆情	隆庆、隆情
